companyid;companyname;ticker;price;p_l;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname;dy;lucros_cagr5;datacarga
423;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;AALR3;9,1;-4,09;1,06;58,18;0,39;99,22;30,1;1,6;-22,81;0,93;-4,81;-0,51;0,42;-25,92;-9,58;-0,51;0,75;40,9;0,37;0,62;0,74;-0,04;0,13;852805,82;8,58;-2,22;1078830481,92;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;;;02/20/24 12:07
327;BCO ABC BRASIL S.A.;ABCB4;25,03;6,12;1,04;5,56;0,11;5,56;25,5;17,06;15,5;0,95;-2,89;-0,1;0,11;16,95;1,73;;;;0,1;0,91;0,05;-0,33;18,7;16337884,0;24,15;4,09;5937618565,76;54;4,0;24,0;Intermediários Financeiros;Bancos;Financeiro e Outros;6,3;17,8;02/20/24 12:07
297;AMBEV S.A.;ABEV3;12,98;13,56;2,27;10,98;1,48;10,24;50,3;22,59;18,29;2,48;55,16;-2,04;0,6;16,71;10,94;18,63;-0,15;-0,75;0,65;0,34;1,11;0,9;10,72;242876012,29;5,73;0,96;204642294359,16;46;3,0;18,0;Bebidas;Cervejas e Refrigerantes;Consumo não Cíclico;5,63;15,72;02/20/24 12:07
422;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;ADHM3;1,56;-4,09;-1,29;-5,69;105,12;-5,69;100,0;-13548,48;-18860,61;770,9;-1,43;-116,16;0,14;-31,47;-2571,9;22,61;;0,0;-81,72;82,72;0,0;-0,58;;;-1,21;-0,38;25439770,2;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;;;02/20/24 12:07
649;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A;AERI3;0,78;-8,86;1,19;3,32;0,25;6,84;12,62;9,03;-3,39;0,3;1,18;-0,78;0,84;-13,42;-2,86;10,53;1,26;3,51;0,21;0,79;1,46;-0,04;;3949685,15;0,66;-0,09;969075067,74;8;1,0;3,0;Máquinas e Equipamentos;Máq. e Equip. Industriais;Bens Industriais;;;02/20/24 12:07
759;AES BRASIL ENERGIA S.A.;AESB3;10,37;39,56;1,4;6,74;0,31;16,7;35,54;28,78;4,9;1,94;19,11;-0,38;0,16;3,53;0,8;5,04;2,06;9,96;0,23;0,72;1,11;-0,58;;31461582,97;7,43;0,26;6241986215,07;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;;;02/20/24 12:07
445;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;AFLT3;7,9;16,26;1,91;15,96;1,59;15,58;57,31;45,58;44,72;7,27;16,34;-1,98;0,22;11,71;9,8;10,57;-0,05;-0,38;0,84;0,16;1,98;-0,22;24,96;5115,67;4,15;0,49;498369130,0;85;10,0;44,0;Energia Elétrica;Energia Elétrica;Utilidade Pública;3,32;19,61;02/20/24 12:07
280;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;AGRO3;23,95;9,59;1,12;9,91;0,7;11,77;30,65;20,17;20,86;2,0;3,43;-1,14;0,35;11,68;7,31;7,59;0,21;1,85;0,63;0,37;2,14;-0,22;27,22;7378334,53;21,4;2,5;2459268483,8;42;3,0;16,0;Agropecuária;Agricultura;Consumo não Cíclico;13,41;15,22;02/20/24 12:07
790;AGROGALAXY PARTICIPAÇÕES S.A.;AGXY3;1,74;-1,18;0,29;0,73;0,04;3,32;12,31;3,9;-2,43;0,03;1,3;-0,17;1,33;-24,61;-3,22;11,82;1,03;2,59;0,13;0,87;1,04;0,0;;475678,59;6,0;-1,48;297235480,86;42;3,0;16,0;Agropecuária;Agricultura;Consumo não Cíclico;2,28;;02/20/24 12:07
278;SAO PAULO TURISMO S.A.;AHEB3;15,5;1,36;7,93;1,1;0,36;1,07;33,84;21,93;17,66;0,24;2,31;-0,63;1,48;582,53;26,18;533,83;-0,17;-0,02;0,04;0,96;1,55;0,0;20,77;3100,0;1,95;11,39;132581335,87;40;2,0;15,0;Viagens e Lazer;Produção de Eventos e Shows;Consumo Cíclico;;;02/20/24 12:07
